37faecb0-7834-480b-8fc9-19af7bab8fa0 302 ::1 POST /admin/create-user 216.091 [Tue, 12 Oct 2021 13:07:40 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
77e8f233-9850-43d7-b3e7-8da824c513fa 200 ::1 GET /admin/create-user 16.659 [Tue, 12 Oct 2021 13:07:40 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
4956e152-a8ba-41a0-9da1-4890fd91195b 200 ::1 GET /admin/admin-dashboard 13.245 [Tue, 12 Oct 2021 13:07:53 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
dcd2181b-e65f-490a-a76a-97159f71f787 200 ::1 GET /create-user 25.051 [Tue, 12 Oct 2021 13:09:46 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
27f555e0-36e0-4ea4-93e7-e18c7a420b88 304 ::1 GET /create-user 9.354 [Tue, 12 Oct 2021 13:12:01 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
4ce8c289-ac1f-484f-9ed5-86caba9ce381 302 ::1 GET /logout 9.940 [Tue, 12 Oct 2021 13:12:42 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
255c7efd-69db-4f5c-ac80-cabd5d54bce5 200 ::1 GET /login 9.114 [Tue, 12 Oct 2021 13:12:42 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
43b61f28-928c-497a-b812-8a002b32c3cf 302 ::1 POST /login 103.008 [Tue, 12 Oct 2021 13:12:49 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
375018e5-8d40-4c28-a0a2-9b220497ab98 200 ::1 GET /admin/admin-dashboard 10.523 [Tue, 12 Oct 2021 13:12:49 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
b8fa4a27-925f-42d7-a4e5-d6f26cf81a6c 200 ::1 GET /create-user 11.678 [Tue, 12 Oct 2021 13:12:50 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
ca48e4ad-7ddd-492e-b977-3fcde50dde60 302 ::1 POST /admin/create-user 98.995 [Tue, 12 Oct 2021 13:13:35 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
01e82d1c-03a5-4b7f-b25c-8a4cf4433067 200 ::1 GET /admin/dashboard 12.789 [Tue, 12 Oct 2021 13:13:35 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
